,Job Title,Company,Location,Requirements,Years of Experience,Tags,Link
486,Senior Data Scientist,Index Exchange,Bangalore,Work experience in complex system engineering environments is a plus Expert in pragmati...,4-8 Yrs," data science, Data modeling, Analytical, Machine learning, Manager Technology, Wellness, Operations, Analytics",https://www.naukri.com/job-listings-senior-data-scientist-index-exchange-bangalore-bengaluru-4-to-8-years-220922502252
487,Data Scientist ( Senior ),Hireflex247,Bangalore,"Statistics Machine Learning (knowledge and experience): creating data sciences models, ...",5-10 Yrs," Data Science, Python programming, PDF, IT consulting, Machine learning, Agile, Programming, Database",https://www.naukri.com/job-listings-data-scientist-senior-hireflex247-india-private-limited-bangalore-bengaluru-5-to-10-years-220822500997
488,Analyst - Data Engineer,Time Analytic &amp; Shared Services Private Limited,Bangalore,"Experience in ETL tasks like extracting data from multiple sources, join multiple table...",1-4 Yrs," Analyst, Database marketing, GIT, Linux, data science, Machine learning, Scheduling, Analytics",https://www.naukri.com/job-listings-analyst-data-engineer-time-analytic-amp-shared-services-private-limited-bangalore-bengaluru-1-to-4-years-210622500561
489,Senior Data Scientist,Gcc Services,Bangalore,"Proficient in SQL queries Optimization Techniques (Bayes, OLS, Adam, Maximum Likelihood...",6-10 Yrs," Data Science, Tensorflow, Regression, GLM, power bi, SVM, Machine Learning, Numpy",https://www.naukri.com/job-listings-senior-data-scientist-abinbev-gcc-services-private-limited-bangalore-bengaluru-6-to-10-years-160922900654
490,Senior Data Scientist - AI/ML,Executive Selection India,Bangalore,Good to have knowledge on production model monitoring and ML-ops frameworkMinimum 3 yea...,3-8 Yrs," Python, machine learning, Data Science, Data Scientist, AI, DB design, ML-Ops, AI solutions",https://www.naukri.com/job-listings-senior-data-scientist-ai-ml-executive-selection-india-bangalore-bengaluru-3-to-8-years-111122913542
491,Senior Data Scientist,Greenizon Agritech Consultancy,Bangalore,Graduate or post graduate with experience in solving data science problems Proficient w...,1-2 Yrs," Data Science, R, Financial Services, Customer Experience, Data Scientist, Neural Networks, Data Visualization, Machine Learning",https://www.naukri.com/job-listings-senior-data-scientist-greenizon-agritech-consultancy-bangalore-bengaluru-1-to-2-years-050122500141
492,Senior Data Scientist,Decimal Point Analytics,Multiple,Candidate should be research oriented and passionate to learn new technologies and adap...,3-7 Yrs," Data Science, Data Scientist, Customer Segmentation, Advanced Analytics, Big Data, Time Series, Spark, Machine Learning",https://www.naukri.com/job-listings-senior-data-scientist-decision-point-analytics-chennai-gurgaon-gurugram-3-to-7-years-270821501724
493,Senior/ Lead Data Scientist,Tiger Analytics,Remote,10 years total exp of which 6 years of relevant data science experience including hands...,2-8 Yrs," Team management, data science, Analytical, Consulting, Machine learning, Data processing, Silicon, Analytics",https://www.naukri.com/job-listings-senior-lead-data-scientist-tiger-analytics-remote-2-to-8-years-270722501122
494,"Sr Manager, Data Visualization Platform Engineer",Pfizer,Mumbai,ROLE RESPONSIBILITIES Provide direction and support to advance the development of new v...,7-10 Yrs," Computer science, data science, Artificial Intelligence, Machine learning, Agile, Budgeting, data visualization, Continuous improvement",https://www.naukri.com/job-listings-sr-manager-data-visualization-platform-engineer-pfizer-limited-mumbai-7-to-10-years-290722501338
495,Senior Data Analyst - Data Modeling/Quality,Get My Parking,Bangalore,"This role requires business acumen and good communication skills, along with technical ...",4-9 Yrs," Data Modeling, Data Quality, Data Management, Data Analytics, Machine Learning, SQL, Python",https://www.naukri.com/job-listings-senior-data-analyst-data-modeling-quality-get-my-parking-bangalore-bengaluru-4-to-9-years-301122910484
496,Assistant Manager,EXL,Gurgaon,"Master s or Bachelors degree in math, statistics, economics, computer engineering, busi...",2-6 Yrs," Gurobi, Data Management, Tableau, Particle Swarm, Convex, Digital Analytics, Power BI, ETL",https://www.naukri.com/job-listings-assistant-manager-exl-services-com-i-pvt-ltd-gurgaon-gurugram-2-to-6-years-241122501924
497,"Data Scientist (Computer Vision, Machine Learning, AI)",Keyretouch Llp,Multiple,Worked on Min. 15 projects. Experience using tools (e.g. Tableau) and data frameworks (...,1-5 Yrs," Data Science, Robot Programming, Artificial Intelligence, Data Mining, Machine Learning, Tableau, Hadoop, data frameworks",https://www.naukri.com/job-listings-data-scientist-computer-vision-machine-learning-ai-keyretouch-llp-mumbai-mumbai-suburban-mumbai-all-areas-1-to-5-years-191122007498
498,Data Scientist,Infoobjects,Multiple,• 3-8 years of experience with at least 3 years in data science / ML AI • Experience on...,3-8 Yrs," Machine learning, data science, ML AI, Google cloud AI, IT Skills, Cloud, Artificial Intelligence, Natural Language Processing",https://www.naukri.com/job-listings-data-scientist-infoobjects-singapore-dubai-3-to-8-years-181122011829
499,Openings For Data Science_ Bangalore Location,Trigent Software,Bangalore,Technical Experience : Experience in DevOps practices for machine learning Experience w...,4-8 Yrs," data science, Machine Learning, javascript, Data visualization, Oracle Procedural Language, DevOps, SQL queries, Python Programming Language",https://www.naukri.com/job-listings-openings-for-data-science-bangalore-location-trigent-software-private-limited-bangalore-bengaluru-4-to-8-years-141122009423
500,Assistant Professor,upGrad,Jalandhar,"Usually, the batch timings are going to be: 9 am to 1 PM, 2 pm to 5pm (Mon-Fri) Teachin...",1-4 Yrs," Programming, javascript, Business Analysis, Data Science, Data Analytics, Data Structures, Natural Language Processing, Machine Learning",https://www.naukri.com/job-listings-assistant-professor-upgrad-jalandhar-1-to-4-years-231122007599
501,Principal Data Scientist,Changeleaders Consulting Private Limited ,Multiple,Analytics' Exp. in any domain (Retail/E-Comm./Tel./BFSI). Expert in Excel & / or VBA. S...,7-10 Yrs," DL, Statistics, Analytics, Data Science, ML, VBA Solution Design, PowerPoint, PySpark",https://www.naukri.com/job-listings-principal-data-scientist-changeleaders-consulting-private-limited-pune-chennai-mumbai-all-areas-7-to-10-years-181122005330
502,Data Analytics Manager,Iifl Samasta,Bangalore,Sector preference - Banking / Financial Services / BFSI Hands on experience in business...,5-8 Yrs," Data Science, Power Bi Tableau, QlikView",https://www.naukri.com/job-listings-data-analytics-manager-iifl-samasta-finance-limited-bangalore-bengaluru-5-to-8-years-041122006183
503,Data Scientist,Accolite Software India Pvt Ltd,Multiple,"Experience in technologies like Python, Jupyter, Machine Learning Algorithms, SQL, Data...",3-6 Yrs," Python, Machine Learning Algorithms, Data Visualization, Jupyter, SQL, IT Skills, Machine Learning, business rules",https://www.naukri.com/job-listings-data-scientist-accolite-software-india-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-3-to-6-years-181022502080
504,Data Scientist - II,Bizongo,Multiple,Have experience with working and deploying state-of-the-art analytics solutions aligned...,3-6 Yrs," Business Analytics, Risk Analytics, Artificial Intelligence, Credit Risk, Data Analytics, Machine Learning, Python",https://www.naukri.com/job-listings-data-scientist-ii-smartpaddle-technology-pvt-ltd-bangalore-bengaluru-mumbai-all-areas-india-3-to-6-years-210722606804
505,Knowledge Engineer - Data Discovery and Enrichment,Reed Elsevier India (a Part Of Relx India,Multiple,What you should bring Degree or experience in a field of Engineering Experience working...,5-7 Yrs," Manager Quality Assurance, Academic Research, Architecture, Data management, data science, Analytical, Machine learning, Programming",https://www.naukri.com/job-listings-knowledge-engineer-data-discovery-and-enrichment-reed-elsevier-india-a-part-of-relx-india-pvt-ltd-chennai-bangalore-bengaluru-5-to-7-years-211122501111
506,Director Engineering,Atidiv,Permanent Remote,Technological polyglot experience working with Google Cloud Platform and one of AWS or ...,10-15 Yrs," Data Architecture Principles, data warehousing, Bigquery, DBT, Postgres, written, Power BI, Tableau",https://www.naukri.com/job-listings-director-engineering-atidiv-pune-10-to-15-years-301122008774
507,Data Engineer,3LOQ,Multiple,Create and maintain optimal data pipeline architecture for both stream processing and b...,0-1 Yrs," python, sql, Communication, Machine Learning, Apache Flink, analytical, Apache Spark, NumPy",https://www.naukri.com/job-listings-data-engineer-3loq-hyderabad-secunderabad-mumbai-all-areas-0-to-1-years-141122002796
508,Data Mining Engineer -Junior,Datahut,Kochi,"Ability to work independently, should prioritize tasks & take initiativeYou should be a...",0-3 Yrs," Coding, Python, Data ScienceMining, IT Skills, Mining, Selection process, Web technologies, data science",https://www.naukri.com/job-listings-data-mining-engineer-junior-datahut-kochi-cochin-0-to-3-years-040722500822
509,Analyst/Associate - Statistics/Machine Learning - IIM/MDI/ISB/FMS,Black Turtle,Bangalore,Analyst / Associate - Statistics / Machine Learning / Predictive Modeling - BFSI - IIM ...,0-3 Yrs," Python, C++, R, data science, portfolio management, MATLAB, Machine Learning, communication skills",https://www.naukri.com/job-listings-analyst-associate-statistics-machine-learning-iim-mdi-isb-fms-black-turtle-india-pvt-ltd-bangalore-bengaluru-0-to-3-years-221122911043
510,Data Analyst,Whatdigital,Bangalore,Good understanding of statistics and analysis techniques (parametric & nonparametric mo...,4-6 Yrs," Data analysis, data science, Business analysis, Data Analyst, data visualization, Analytics, SQL, Salesforce",https://www.naukri.com/job-listings-data-analyst-whatdigital-bangalore-bengaluru-4-to-6-years-131022501396
511,Data Analyst,Automotive Robotics India,Bangalore,Work with Management in prioritizing business problems with impact analysis. Identify d...,4-7 Yrs," Statistical analysis, data science, Data processing, Data Analyst, Subject matter expertise, Management, Downstream, SQL",https://www.naukri.com/job-listings-data-analyst-automotive-robotics-india-pvt-ltd-bangalore-bengaluru-4-to-7-years-101122501621
512,Analyst / Associate - Statistics / Machine Learning,Black Turtle,Bangalore,Analyst /Associate - Statistics / Machine Learning / Predictive Modeling - BFSI - IIM /...,0-3 Yrs," Machine Learning, C++, R, data science, Statistician, predictive modeling, MATLAB, Python",https://www.naukri.com/job-listings-analyst-associate-statistics-machine-learning-black-turtle-india-pvt-ltd-bangalore-bengaluru-0-to-3-years-171122910249
513,Data Analyst,Kinara Capital,Bangalore,At least a bachelor s degree in Data Science / Statistics or other quantitative discipl...,1-4 Yrs," Economics, Data analysis, Head Business Development, data science, Analytical, Mathematics, Data Analyst, Statistics",https://www.naukri.com/job-listings-data-analyst-kinara-financial-private-limited-bangalore-bengaluru-1-to-4-years-160822501482
514,Data Analyst,Qoala,Bangalore,Bachelor s degree from an accredited university or collegeAbility to translate business...,2-3 Yrs," communication, Python, SQL, analytical, IT Skills, Training, data science, Manager Technology",https://www.naukri.com/job-listings-data-analyst-qoala-bangalore-bengaluru-2-to-3-years-091122501061
515,"Data Analyst , Product",Mediamath,Bangalore,4+ years of experience working at a start-up or tech company in an analytical role Expe...,4-9 Yrs," Data Science, Predictive Modeling, Digital Media, Data Analysis, Statistical Modeling, Data Analyst, Analytics, Python",https://www.naukri.com/job-listings-data-analyst-product-mediamath-bangalore-bengaluru-4-to-9-years-030821500756
516,Data Analyst - Digital Business/ Digital Banking,DBS Bank,Multiple,JOB DESCRIPTION Position Title: Data AnalystDepartment: AnalyticsAs the leading bank in...,7-12 Yrs," Data Manipulation, Data Analysis, Data Visualization, Data Analytics",https://www.naukri.com/job-listings-data-analyst-digital-business-digital-banking-dbs-bank-mumbai-mumbai-suburban-navi-mumbai-mumbai-all-areas-7-to-12-years-120822009306
517,Analyst - Data & Analytics,General Mills,Mumbai,Partner with stakeholders to understand report requirements and ensure results meet the...,1-2 Yrs," Supply chain, Business services, Business objects, tableau, Process improvement, Data analytics, Data mining, Macros",https://www.naukri.com/job-listings-analyst-data-analytics-general-mills-inc-mumbai-1-to-2-years-211122502590
518,Risk & Controls - Data Analytics - Senior Associate,PwC,Multiple,"As a Senior Associate, you'll work as part of a team of problem solvers, helping to sol...",3-5 Yrs," Data analysis, Leadership development, Analytical, Consulting, Data analytics, data visualization, Risk management, Stakeholder management",https://www.naukri.com/job-listings-risk-controls-data-analytics-senior-associate-pricewaterhouse-coopers-private-limited-kolkata-hyderabad-secunderabad-bangalore-bengaluru-3-to-5-years-261122500044
